,title,genre,synopsis,producer,studio,rating,scoredby,members,source,aired
2214,Psycho-Pass Movie,"Action, Military, Police, Sci-Fi","Due to the incredible success of the Sibyl System, Japan has begun exporting the technology to other countries with the hope that it will one day be used all around the world. In order to test its effectiveness in a foreign location, the war-torn state of the South East Asian Union (SEAUn) decides to implement the system, hoping to bring peace and stability to the town of Shambala Float and keep the population in check. 
 
However, a group of anti-Sibyl terrorists arrive in Japan, and the Ministry of Welfare's Public Safety Bureau discovers significant evidence that the invaders are being aided by Shinya Kougami, a former Enforcer who went rogue. Because of their past relationship, Akane Tsunemori is sent to SEAUn to bring him back, but with their last meeting years in the past, their reunion might not go quite as planned. 
 
[Written by MAL Rewrite]","Dentsu, Nitroplus, Kyoraku Industrial Holdings",Production I.G,7.87,65040,135458,Original,"Jan 9, 2015"
2215,Tokyo ESP,"Action, Sci-Fi, Comedy, Super Power, Supernatural, Shounen","Rinka Urushiba works part time as a waitress to help out her unemployed father. By all accounts, her life in Tokyo is a relatively normal one—but her sense of normalcy begins to fade when she inexplicably sees a flying penguin one day. Chasing it all the way to the top of a building, she encounters more surprises, including flying goldfish and another person—a classmate named Kyoutarou Azuma—who can also see these strange things. After Rinka passes out when a goldfish phases through her, she wakes up an esper with the ability to phase her body through solid matter. 
 
However, her newfound ability is not the only strange thing about her: when she uses her powers, her hair turns white. Deciding reluctantly to use this new gift to help the city, she becomes Tokyo's new hero, dubbed the ""White Girl."" Along with Kyoutarou, who gained the power of teleportation, Rinka begins righting the wrongs in the city while fighting other espers who have much less noble intentions. 
 
[Written by MAL Rewrite]","Lantis, Rakuonsha, KlockWorx, Tokyo MX",Xebec,6.63,51292,117924,Manga,"Jul 12, 2014 to Sep 27, 2014"
2216,Freezing Vibration Specials,"Action, Ecchi, Comedy",Short specials included on the BD/DVD volumes of Freezing Vibration.,Media Factory,A.C.G.T.,6.63,7051,16020,Unknown,"Dec 25, 2013 to May 28, 2014"
2217,Bokura wa Minna Kawai-sou,"Slice of Life, Comedy, Romance, School","Kazunari Usa is a high school freshman who will start living alone due to his parents now working in a different area. Excited for his new independent life, he hopes to go about his teenage days without the worry of dealing with any strange people, but as he soon discovers, his new boarding house Kawai Complex is far from ordinary. 
 
The various tenants at Kawai Complex are all quite eccentric characters. Shirosaki, Kazunari's roommate, is a pervert and masochist; Mayumi Nishikino, a borderline alcoholic office lady, hates couples because of her unfortunate luck with men; and Sayaka Watanabe, a seemingly innocent college student, enjoys leading men on. Shocked with the lack of decent individuals at his new residence, Kazunari is about to leave when he runs into shy senior student Ritsu Kawai and finds himself slowly falling in love with her. 
 
[Written by MAL Rewrite]",TBS,Brain039;s Base,7.83,114212,213903,Manga,"Apr 4, 2014 to Jun 20, 2014"
2218,Machine-Doll wa Kizutsukanai Specials,"Action, Ecchi, Fantasy, School, Seinen","Original animation to be included in the BD and DVD volume releases of Machine-Doll wa Kizutsukanai. 
 
Volume 1: ""Soshite Futari wa Manabisha e (And So They Arrive at School)"" 
Volume 2: ""Irori, Rotenburo de Sosou suru (Irori Has an Accident at the Open-Air Bath)"" 
Volume 3: ""Char and Frey, Senritsu no Bathroom (Charl, Frey, and the Bathroom of Terror)"" 
Volume 4: ""Akabane Nadeshiko, Natsu no Yo no Yume (Nadeshiko Akabane, Midsummer Night's Dream)"" 
Volume 5: ""Kojin Jugyou: Imishitsu de Bijo Futari to~ (Private Lesson - Two Beauties in an Infirmary)"" 
Volume 6: ""Bishoujo Shuugou! Mizugi Darake no Daisoudou (Pretty Girls Gather! Swimsuit-Stubbed Pandemonium)""","Genco, Movic, AT-X",Lerche,6.83,9887,22459,Light novel,"Dec 25, 2013 to May 28, 2014"
2219,Gokukoku no Brynhildr,"Drama, Mystery, Sci-Fi, Seinen","Venturing into the wilderness, the skeptical Ryouta Murakami and the ambitious Kuroneko were on a quest to prove the existence of extraterrestrial life when a tragic accident occurred, reaping Kuroneko of her life and leaving Ryouta in a critically injured state. 
 
Ten years have passed since the disaster, and Ryouta is now living a normal life in high school. He vows to prove that aliens are real in honor of his late friend. A transfer student named Neko Kuroha unexpectedly arrives one day, bearing a striking resemblance to the late Kuroneko—even sharing a similar name. Most mysteriously, she seems to possess supernatural powers. 
 
As Ryouta takes more interest in Neko, he is drawn into a deadly world where dangerous scientists hunt magic-wielding witches that have escaped from their secret research laboratory. Neko is one of these escapees, but there are many others who are in similar situations, and it's up to Ryouta to protect them from their would-be captors. 
 
[Written by MAL Rewrite] 
",VAP,Arms,7.05,107496,209671,Manga,"Apr 6, 2014 to Jun 29, 2014"
2220,Yama no Susume Second Season,"Adventure, Comedy, Slice of Life","Continuing their treks through the high peaks of Japan, the mountaineering girls are back for more! First-year high school student Aoi Yukimura, a shy girl with a fear of heights, and her wildly energetic friend Hinata Kuraue set out once again to conquer the perils of backyard camping trips, summer homework, and even a climb on the mountain of their dreams. Joined by middle school student Kokona Aoba and their knowledgeable upperclassman Kaede Saitou, the squad members are ready to take on whatever slopes and challenges they might face, no matter how steep.  
 
Through their shared hobby of mountain climbing, they bond closer than ever and even make new friends on trails all over the country. Whether it is just a local hill or the tallest mountain around, nothing is too much for Aoi and the crew to handle. They will climb, stumble, and rise to even greater heights together! 
 
[Written by MAL Rewrite]","Earth Star Entertainment, Tokyo MX, Good Smile Company",8bit,7.52,6195,15659,Manga,"Jul 9, 2014 to Dec 24, 2014"
2221,Buddy Complex,"Action, Sci-Fi, Mecha","When ordinary high school student Aoba Watase is suddenly targeted by a giant robot known as a ""Valiancer,"" he is saved by his mysterious classmate Hina Yumihara. After revealing that she and their robotic enemy are from the future, Hina suddenly propels Aoba 70 years forward in order to prevent his death. 
 
Upon arrival, Aoba finds himself in the cockpit of a Valiancer called ""Luxon,"" stuck in the midst of a firefight between the military forces of the Free Pact Alliance (FPA) and Zogilia Republic. After he shows high compatibility with an FPA pilot named Dio Weinberg, the two perform a successful ""coupling,"" allowing them to share experiences and subsequently increase their capabilities and skills. Although Aoba is able to survive this unexpected battle, he is taken into custody by the FPA ship Cygnus, who wishes to interrogate him. While the student's main concern is whether he will ever be able to return home, what he doesn't realize is that he is about to get caught up in a war to protect the world. 
 
[Written by MAL Rewrite]","Bandai Visual, Lantis, Bandai Namco Live Creative, Bandai Namco Games, Banpresto, Bandai Channel",Sunrise,7.26,27270,55276,Original,"Jan 6, 2014 to Mar 31, 2014"
2222,Uta noPrince-sama Maji Love Revolutions,"Comedy, Harem, Music, Romance, School, Shoujo","The third anime adaptation of the otome game  Uta no☆Prince-sama♪ . 
 
Starish are given new assignments in newly divided teams, and they do their best in order to try and impress Shining Saotome into allowing their entry to SSS, a top level music contest. Meanwhile, Haruka works with the Quartet Night. ","Showgate, King Records",A-1 Pictures,7.2,13968,36364,Visual novel,"Apr 5, 2015 to Jun 28, 2015"
2223,Stand By Me Doraemon,"Comedy, Kids, Sci-Fi, Shounen","Nobita Nobi is an elementary student who hates studying, is bad at sports, and does everything half-heartedly. He is a pushover, unlucky, and fearful of many things. His personality makes him a failure in life, even affecting his progeny. This causes his great-great-grandchild, Sewashi, to take control of the situation. 
 
Sewashi travels back in time from the 22nd century to the 20th century to meet Nobita, who is shocked to see him appear out of his drawer alongside a blue robotic cat. The robotic cat calls himself Doraemon, who claims to have been pressured by Sewashi to assist Nobita, with their ultimate goal being to provide Nobita happiness. Frustrated after seeing Nobita's hopeless state, Doraemon decides to go back to the future. However, Sewashi activates a program within Doraemon that prevents him from doing so.  
 
Forced to stay, Doraemon helps Nobita using futuristic gadgets through his four-dimensional pocket—a bag containing anything inside it. Can Doraemon bring Nobita happiness and return to the future? 
 
[Written by MAL Rewrite]","Toho, Robot Communications","Shirogumi, Shin-Ei Animation",8.13,6493,10263,Manga,"Aug 8, 2014"
2224,Persona 3 the Movie 2 Midsummer Knights Dream,"Action, Supernatural, Fantasy","As the season changes from spring to summer, Makoto Yuuki remains alongside the Specialized Extracurricular Execution Squad (SEES). The team continues to defeat Shadows large and small, but they now clash with a new enemy: Strega, a group of rogue Persona users who wish to keep the Dark Hour to their advantage—it seems that Strega may hold a clue to the Dark Hour's true nature. 
 
While SEES enjoys summer vacation in Yakushima, they are joined by Aegis, an amnesiac android designed to destroy Shadows. While she proves herself to be a powerful ally, she is inexplicably drawn to Makoto and constantly remains at his side. As they delve deeper into the mysteries of the Dark Hour, the nature of the mysterious connection that binds these two together is slowly unveiled. 
 
[Written by MAL Rewrite]","Aniplex, Atlus",A-1 Pictures,7.81,20305,41064,Game,"Jun 7, 2014"
2225,Soul Eater NOT!,"Action, Comedy, Ecchi, Shounen, Supernatural","Soul Eater NOT!  is a spin-off and side story that takes place one year prior to the events of the original  Soul Eater . At the Death Weapon Meister Academy, humans born with the power to transform into weapons and those with the power to wield these weapons (Meisters) train to hone their natural talent. The characters of the main series are enrolled in the Especially Advantaged Talent class, where they train to become warriors of justice capable of defeating what threats prey on innocent lives—or even the entire world. 
 
Other students at the DWMA are less talented. Members of the Normally Overcome Target class focus less on being warriors of justice and more on controlling their powers so they don't hurt themselves or anyone around them. Tsugumi Harudori, a new halberd-transforming student, meets Meisters Meme Tatane and Anya Hepburn and quickly grows indecisive about which of the two new friends should be her partner. As they learn to use these powers and settle in, their lives as everyday students will be far from normal.","TV Tokyo, Dentsu, Square Enix, Sony Music Communications",Bones,6.22,56165,119536,Manga,"Apr 9, 2014 to Jul 2, 2014"
